Concept,Label,Concept_Label,Lat,Long
<http://vocab.getty.edu/tgn/8699550>,Despüs,"""Despüs""@it",46.247291,10.156063
<http://vocab.getty.edu/tgn/8699716>,La Colchide,"""La Colchide""@fr",46.267494,7.005162
<http://vocab.getty.edu/tgn/8699468>,Crest-d'El,"""Crest-d'El""@fr",46.265905,6.128433
<http://vocab.getty.edu/tgn/8699817>,Campasc,"""Campasc""@rm-ch",46.259675,10.142681
<http://vocab.getty.edu/tgn/8699612>,Grevasalvas,"""Grevasalvas""@rm-ch",46.423923,9.718639
<http://vocab.getty.edu/tgn/8699896>,Chez les Addy,"""Chez les Addy""@fr",46.040095,7.154007
<http://vocab.getty.edu/tgn/8699554>,I Betin,"""I Betin""@it",46.248233,10.117405
<http://vocab.getty.edu/tgn/8699412>,Barati,"""Barati""@fr",46.122193,7.463172
<http://vocab.getty.edu/tgn/8699469>,Breite Stäg,"""Breite Stäg""@de",46.266076,7.78158
<http://vocab.getty.edu/tgn/8699868>,Alp Prasüra,"""Alp Prasüra""@rm-ch",46.427704,9.77447
<http://vocab.getty.edu/tgn/8699778>,Crie,"""Crie""@fr",46.22589,7.016159
<http://vocab.getty.edu/tgn/8699536>,La Brunette,"""La Brunette""@fr",46.254834,6.122168
<http://vocab.getty.edu/tgn/8699788>,Champex,"""Champex""@fr",46.257209,6.922265
<http://vocab.getty.edu/tgn/8699805>,I Monas,"""I Monas""@it",46.255842,10.140065
<http://vocab.getty.edu/tgn/8699531>,La Scie,"""La Scie""@fr",46.254336,7.025696
<http://vocab.getty.edu/tgn/8699359>,Blaunca,"""Blaunca""@rm-ch",46.41948,9.707333
<http://vocab.getty.edu/tgn/8699458>,Clos de Champagne,"""Clos de Champagne""@fr",46.265038,6.9845
<http://vocab.getty.edu/tgn/8699961>,Gennecy,"""Gennecy""@fr",46.166863,5.992024
<http://vocab.getty.edu/tgn/8699965>,Maison Carrée,"""Maison Carrée""@fr",46.199586,6.056941
<http://vocab.getty.edu/tgn/8699698>,Lully,"""Lully""@fr",46.163245,6.075129
<http://vocab.getty.edu/tgn/8699729>,Bodma,"""Bodma""@de",46.26919,7.912415
<http://vocab.getty.edu/tgn/8699786>,En Collatel,"""En Collatel""@fr",46.257001,7.063003
<http://vocab.getty.edu/tgn/8699797>,Binii,"""Binii""@fr",46.257811,7.347462
<http://vocab.getty.edu/tgn/8699329>,Campac,"""Campac""@it",46.339744,9.565749
<http://vocab.getty.edu/tgn/8699534>,Chrizji,"""Chrizji""@de",46.254766,7.897785
<http://vocab.getty.edu/tgn/8699902>,Champex d'en Bas,"""Champex d'en Bas""@fr",46.042361,7.094156
<http://vocab.getty.edu/tgn/8699976>,Biela,"""Biela""@de",46.200323,8.107833
<http://vocab.getty.edu/tgn/8699769>,Daviaz,"""Daviaz""@fr",46.22489,6.980504
<http://vocab.getty.edu/tgn/8699339>,Cüa,"""Cüa""@rm-ch",46.342242,9.526961
<http://vocab.getty.edu/tgn/8699555>,Bregnon,"""Bregnon""@it",46.248537,9.104154
<http://vocab.getty.edu/tgn/8699956>,Barneuza Alpage,"""Barneuza Alpage""@fr",46.166388,7.629861
<http://vocab.getty.edu/tgn/8699838>,Fordecia,"""Fordecia""@rm-ch",46.350017,9.22194
<http://vocab.getty.edu/tgn/8699790>,Chez Gillabert,"""Chez Gillabert""@fr",46.257313,6.246006
<http://vocab.getty.edu/tgn/8699580>,Caccior,"""Caccior""@it",46.344588,9.564939
<http://vocab.getty.edu/tgn/8699364>,Camou,"""Camou""@it",46.419945,9.234253
<http://vocab.getty.edu/tgn/8699959>,Chez Mauris,"""Chez Mauris""@fr",46.166555,6.05975
<http://vocab.getty.edu/tgn/8699573>,Cadera Dafora,"""Cadera Dafora""@rm-ch",46.343046,10.048118
<http://vocab.getty.edu/tgn/8699571>,Irola,"""Irola""@it",46.252863,10.145546
<http://vocab.getty.edu/tgn/8699724>,Les Biolays,"""Les Biolays""@fr",46.268316,6.132365
<http://vocab.getty.edu/tgn/8699939>,Biel,"""Biel""@de",46.040313,7.764156
<http://vocab.getty.edu/tgn/8699781>,Bellebouche,"""Bellebouche""@fr",46.256129,6.235455
<http://vocab.getty.edu/tgn/8699472>,La Peufaire,"""La Peufaire""@fr",46.266317,7.061017
<http://vocab.getty.edu/tgn/8699562>,Braga,"""Braga""@it",46.249898,10.154342
<http://vocab.getty.edu/tgn/8699402>,Commeire,"""Commeire""@fr",46.023741,7.166298
<http://vocab.getty.edu/tgn/8699658>,Chez les Giroud,"""Chez les Giroud""@fr",46.037916,7.156651
<http://vocab.getty.edu/tgn/8699005>,Bonnévouette,"""Bonnévouette""@fr",46.219266,6.929637
<http://vocab.getty.edu/tgn/8699253>,Les Avanchets,"""Les Avanchets""@fr",46.220782,6.109121
<http://vocab.getty.edu/tgn/8699296>,Saint Maurice,"""Saint Maurice""@fr",46.25386,6.216148
<http://vocab.getty.edu/tgn/8698583>,Borma,"""Borma""@rm-ch",46.324842,9.12755
<http://vocab.getty.edu/tgn/8699231>,Blattu,"""Blattu""@de",46.194357,7.828269
<http://vocab.getty.edu/tgn/8698966>,Chleiderfji,"""Chleiderfji""@de",46.271031,7.891761
<http://vocab.getty.edu/tgn/8699217>,Bois d'Avault,"""Bois d'Avault""@fr",46.264219,6.136002
<http://vocab.getty.edu/tgn/8698689>,Achouet,"""Achouet""@fr",46.152301,7.318683
<http://vocab.getty.edu/tgn/8699224>,Bitzinen,"""Bitzinen""@de",46.26471,7.894471
<http://vocab.getty.edu/tgn/8698655>,Champ Long,"""Champ Long""@fr",45.951525,7.188091
<http://vocab.getty.edu/tgn/8699251>,L'Avenir,"""L'Avenir""@fr",46.220634,6.240634
<http://vocab.getty.edu/tgn/8698592>,Ca d'Starnam,"""Ca d'Starnam""@rm-ch",46.405984,9.743075
<http://vocab.getty.edu/tgn/8699067>,Bodio,"""Bodio""@rm-ch",46.330908,9.119208
<http://vocab.getty.edu/tgn/8699036>,L'Ermitage,"""L'Ermitage""@fr",46.250683,6.131946
<http://vocab.getty.edu/tgn/8698684>,Surpierre,"""Surpierre""@fr",46.151514,6.133307
<http://vocab.getty.edu/tgn/8699275>,Gy,"""Gy""@fr",46.251576,6.256631
<http://vocab.getty.edu/tgn/8699238>,Eslex,"""Eslex""@fr",46.194798,7.028591
<http://vocab.getty.edu/tgn/8698935>,Champ de la Pierre,"""Champ de la Pierre""@fr",46.154816,6.137116
<http://vocab.getty.edu/tgn/8698716>,Frenières-sur-Bex,"""Frenières-sur-Bex""@fr",46.261439,7.071229
<http://vocab.getty.edu/tgn/8698792>,Ai Fornas,"""Ai Fornas""@it",46.228562,9.093846
<http://vocab.getty.edu/tgn/8698570>,Castel,"""Castel""@it",46.322523,10.048785
<http://vocab.getty.edu/tgn/8698724>,Le Liotard,"""Le Liotard""@fr",46.262019,7.0669
<http://vocab.getty.edu/tgn/8699034>,Code,"""Code""@fr",46.25061,7.275921
<http://vocab.getty.edu/tgn/8698696>,Sous Bossey,"""Sous Bossey""@fr",46.152969,6.156605
<http://vocab.getty.edu/tgn/8699082>,Braita,"""Braita""@rm-ch",46.334833,10.034572
<http://vocab.getty.edu/tgn/8699035>,Merlinge,"""Merlinge""@fr",46.250632,6.248557
<http://vocab.getty.edu/tgn/8698501>,Balavaud,"""Balavaud""@fr",46.215894,7.259429
<http://vocab.getty.edu/tgn/8698830>,Cavaionc,"""Cavaionc""@rm-ch",46.328882,9.111642
<http://vocab.getty.edu/tgn/8698537>,La Pallanterie,"""La Pallanterie""@fr",46.246998,6.219116
<http://vocab.getty.edu/tgn/8698902>,Crêdedin,"""Crêdedin""@fr",45.985615,7.195781
<http://vocab.getty.edu/tgn/8699244>,Bieudron,"""Bieudron""@fr",46.195175,7.279238
<http://vocab.getty.edu/tgn/8698702>,Cannelet,"""Cannelet""@fr",46.15403,5.992213
<http://vocab.getty.edu/tgn/8698531>,Champlan,"""Champlan""@fr",46.246613,7.368957
<http://vocab.getty.edu/tgn/8699078>,La Motta,"""La Motta""@rm-ch",46.333824,9.130546
<http://vocab.getty.edu/tgn/8699228>,Serve,"""Serve""@fr",46.19422,6.020653
<http://vocab.getty.edu/tgn/8698723>,La Varre,"""La Varre""@fr",46.261924,7.137933
<http://vocab.getty.edu/tgn/8698599>,Lareit,"""Lareit""@it",46.40691,10.061663
<http://vocab.getty.edu/tgn/8699222>,Le Plantex,"""Le Plantex""@fr",46.264666,7.029859
<http://vocab.getty.edu/tgn/8699202>,Chouzèt,"""Chouzèt""@fr",46.159319,7.427258
<http://vocab.getty.edu/tgn/8699037>,Coméraz,"""Coméraz""@fr",46.250691,7.373531
<http://vocab.getty.edu/tgn/8698607>,Cac,"""Cac""@it",46.408183,9.221193
<http://vocab.getty.edu/tgn/8698883>,Azerin,"""Azerin""@fr",45.95993,7.220323
<http://vocab.getty.edu/tgn/8698982>,Ceintaneire,"""Ceintaneire""@fr",46.192566,6.974729
<http://vocab.getty.edu/tgn/8698508>,La Louvière,"""La Louvière""@fr",46.216692,6.26684
<http://vocab.getty.edu/tgn/8698532>,Burgen,"""Burgen""@de",46.246694,7.863734
<http://vocab.getty.edu/tgn/8699061>,Dro Bass,"""Dro Bass""@it",46.23865,9.08337
<http://vocab.getty.edu/tgn/8699209>,Le Chavalet,"""Le Chavalet""@fr",46.263096,7.003517
<http://vocab.getty.edu/tgn/8698795>,Bell,"""Bell""@it",46.229342,9.119121
<http://vocab.getty.edu/tgn/8698950>,La Maison Blanche,"""La Maison Blanche""@fr",46.156801,5.99012
<http://vocab.getty.edu/tgn/8698891>,Chalet Bérard,"""Chalet Bérard""@fr",45.97173,7.117081
<http://vocab.getty.edu/tgn/8698839>,La Motta,"""La Motta""@it",46.40891,9.76788
<http://vocab.getty.edu/tgn/8699146>,Chandonne,"""Chandonne""@fr",46.004088,7.1805
<http://vocab.getty.edu/tgn/8698904>,Chez Petit,"""Chez Petit""@fr",45.986798,7.178895
<http://vocab.getty.edu/tgn/8698925>,Arbey,"""Arbey""@fr",46.113228,7.477743
<http://vocab.getty.edu/tgn/8698942>,Laconnex,"""Laconnex""@fr",46.155899,6.036474
<http://vocab.getty.edu/tgn/8699195>,Passeiry,"""Passeiry""@fr",46.158855,5.997208
<http://vocab.getty.edu/tgn/8698996>,Chou,"""Chou""@fr",46.193726,7.164693
<http://vocab.getty.edu/tgn/8699179>,Chalets Vieux,"""Chalets Vieux""@fr",46.121065,7.460359
<http://vocab.getty.edu/tgn/8698496>,Aire-la-Ville,"""Aire-la-Ville""@fr",46.190718,6.043721
<http://vocab.getty.edu/tgn/8698941>,Saconnex d'Arve Dessus,"""Saconnex d'Arve Dessus""@fr",46.155877,6.124722
<http://vocab.getty.edu/tgn/8698541>,Comba Bernard,"""Comba Bernard""@fr",46.247405,7.386586
<http://vocab.getty.edu/tgn/8698612>,La Motta,"""La Motta""@it",46.408503,10.054643
<http://vocab.getty.edu/tgn/8698596>,Campasc,"""Campasc""@it",46.406588,10.049114
<http://vocab.getty.edu/tgn/8699080>,Ca Lunghi,"""Ca Lunghi""@rm-ch",46.334447,10.047117
<http://vocab.getty.edu/tgn/8698513>,La Rosseline,"""La Rosseline""@fr",46.216913,7.045864
<http://vocab.getty.edu/tgn/8698737>,Büele,"""Büele""@de",46.581113,7.644748
<http://vocab.getty.edu/tgn/8699091>,Bunet,"""Bunet""@it",46.413114,10.053432
<http://vocab.getty.edu/tgn/8698946>,Certoux,"""Certoux""@fr",46.156278,6.080822
<http://vocab.getty.edu/tgn/8698482>,Crêté,"""Crêté""@fr",46.190032,7.574685
<http://vocab.getty.edu/tgn/8699076>,Lascial,"""Lascial""@rm-ch",46.333619,9.125519
<http://vocab.getty.edu/tgn/8699273>,L'Abbaye,"""L'Abbaye""@fr",46.221866,6.250558
<http://vocab.getty.edu/tgn/8699071>,Brègan,"""Brègan""@rm-ch",46.332009,9.541217
<http://vocab.getty.edu/tgn/8699227>,Ferme des Iles,"""Ferme des Iles""@fr",46.264933,6.976158
<http://vocab.getty.edu/tgn/8699194>,Cloche,"""Cloche""@fr",46.158769,6.159907
<http://vocab.getty.edu/tgn/8698489>,Les Evaux,"""Les Evaux""@fr",46.19032,6.091519
<http://vocab.getty.edu/tgn/8699084>,Bondo,"""Bondo""@rm-ch",46.335106,9.554434
<http://vocab.getty.edu/tgn/8698890>,Creux du Ma,"""Creux du Ma""@fr",45.971541,7.217742
<http://vocab.getty.edu/tgn/8698582>,Alp de Montogn,"""Alp de Montogn""@rm-ch",46.32471,9.242307
<http://vocab.getty.edu/tgn/8698764>,Crie d'en Haut,"""Crie d'en Haut""@fr",46.218275,6.888079
<http://vocab.getty.edu/tgn/8698524>,Birch,"""Birch""@de",46.245753,7.910219
<http://vocab.getty.edu/tgn/8699259>,Boveresse,"""Boveresse""@fr",46.221081,6.900275
<http://vocab.getty.edu/tgn/8699011>,Crie d'en Bas,"""Crie d'en Bas""@fr",46.219747,6.897458
<http://vocab.getty.edu/tgn/8699192>,Moulin Roget,"""Moulin Roget""@fr",46.1584,5.981425
<http://vocab.getty.edu/tgn/8698593>,Becal,"""Becal""@it",46.406116,10.056783
<http://vocab.getty.edu/tgn/8698957>,Briey,"""Briey""@fr",46.270467,7.538625
<http://vocab.getty.edu/tgn/8699198>,Le Martinet,"""Le Martinet""@fr",46.159072,5.983966
<http://vocab.getty.edu/tgn/8698751>,Crête,"""Crête""@fr",46.217522,6.210418
<http://vocab.getty.edu/tgn/8698796>,La Crola,"""La Crola""@it",46.22935,9.081608
<http://vocab.getty.edu/tgn/8698674>,Borza,"""Borza""@fr",46.105397,7.514063
<http://vocab.getty.edu/tgn/8698930>,Auddes,"""Auddes""@fr",46.154326,7.244081
<http://vocab.getty.edu/tgn/8698999>,Vandoeuvres,"""Vandoeuvres""@fr",46.218607,6.200498
<http://vocab.getty.edu/tgn/8698931>,Athenaz,"""Athenaz""@fr",46.154498,6.005771
<http://vocab.getty.edu/tgn/8698694>,Cotayer,"""Cotayer""@fr",46.152869,7.257206
<http://vocab.getty.edu/tgn/8698828>,Bosciola,"""Bosciola""@it",46.328326,9.210737
<http://vocab.getty.edu/tgn/8699205>,Vireloup,"""Vireloup""@fr",46.262467,6.122274
<http://vocab.getty.edu/tgn/8699069>,Cansumé,"""Cansumé""@rm-ch",46.331389,10.074108
<http://vocab.getty.edu/tgn/8698654>,Bourg-St-Pierre,"""Bourg-St-Pierre""@fr",45.95065,7.208306
<http://vocab.getty.edu/tgn/8698576>,Campel,"""Campel""@rm-ch",46.323398,10.046859
<http://vocab.getty.edu/tgn/8698992>,Bon,"""Bon""@fr",46.193388,7.192104
<http://vocab.getty.edu/tgn/8699315>,La Dogana,"""La Dogana""@it",46.246638,10.14854
<http://vocab.getty.edu/tgn/8700617>,Bode,"""Bode""@de",46.131793,7.942636
<http://vocab.getty.edu/tgn/8700388>,Bodmen,"""Bodmen""@de",46.107448,7.939159
<http://vocab.getty.edu/tgn/8700133>,Berte,"""Berte""@fr",46.049725,6.99301
<http://vocab.getty.edu/tgn/8700376>,Cretton,"""Cretton""@fr",46.056991,6.964011
<http://vocab.getty.edu/tgn/8700538>,Doss,"""Doss""@it",46.365965,10.084759
<http://vocab.getty.edu/tgn/8700183>,La Passe,"""La Passe""@fr",46.168832,6.020377
<http://vocab.getty.edu/tgn/8700433>,Baar,"""Baar""@fr",46.203695,7.326488
<http://vocab.getty.edu/tgn/8700381>,Alpien,"""Alpien""@de",46.101037,7.949847
<http://vocab.getty.edu/tgn/8700453>,Coutta,"""Coutta""@fr",46.229812,7.624176
<http://vocab.getty.edu/tgn/8700024>,La Combe,"""La Combe""@fr",46.259909,7.008089
<http://vocab.getty.edu/tgn/8700039>,Anzan,"""Anzan""@it",46.266082,9.169315
<http://vocab.getty.edu/tgn/8700218>,Chalet Quartéry,"""Chalet Quartéry""@fr",46.227814,6.970284
<http://vocab.getty.edu/tgn/8700445>,Cuimey,"""Cuimey""@fr",46.204495,7.591031
<http://vocab.getty.edu/tgn/8700408>,Pinchat la Tour,"""Pinchat la Tour""@fr",46.171415,6.161582
<http://vocab.getty.edu/tgn/8700012>,Planet,"""Planet""@fr",46.2585,6.128214
<http://vocab.getty.edu/tgn/8700215>,Beaupérier,"""Beaupérier""@fr",46.203116,7.339498
<http://vocab.getty.edu/tgn/8700456>,Bad,"""Bad""@de",46.230158,7.834395
<http://vocab.getty.edu/tgn/8700059>,Cassan,"""Cassan""@it",46.352085,9.20229
<http://vocab.getty.edu/tgn/8700520>,Cavagliola,"""Cavagliola""@it",46.361397,10.041394
<http://vocab.getty.edu/tgn/8700603>,Catogne,"""Catogne""@fr",46.062162,7.124285
<http://vocab.getty.edu/tgn/8700234>,Chinegga,"""Chinegga""@de",46.229069,7.872196
<http://vocab.getty.edu/tgn/8700038>,Fontana,"""Fontana""@it",46.265777,9.105986
<http://vocab.getty.edu/tgn/8700650>,Chalet du Bac,"""Chalet du Bac""@fr",46.175578,5.995182
<http://vocab.getty.edu/tgn/8700154>,Altentrog,"""Altentrog""@de",46.061579,7.777376
<http://vocab.getty.edu/tgn/8700666>,Essertines,"""Essertines""@fr",46.205296,5.988366
<http://vocab.getty.edu/tgn/8700020>,Le Bévieux,"""Le Bévieux""@fr",46.259605,7.030839
<http://vocab.getty.edu/tgn/8700458>,La Pâtissière,"""La Pâtissière""@fr",46.230216,7.025965
<http://vocab.getty.edu/tgn/8700535>,Al Pont,"""Al Pont""@it",46.364443,9.226419
<http://vocab.getty.edu/tgn/8700688>,Brunnen,"""Brunnen""@de",46.232299,7.857196
<http://vocab.getty.edu/tgn/8700242>,Perly-Certoux,Perly-Certoux,46.156518,6.087168
<http://vocab.getty.edu/tgn/8700042>,Aurel,"""Aurel""@it",46.266288,9.10997
<http://vocab.getty.edu/tgn/8700670>,Cornière,"""Cornière""@fr",46.205559,6.239491
<http://vocab.getty.edu/tgn/8700304>,Druna,"""Druna""@it",46.359967,9.227684
<http://vocab.getty.edu/tgn/8700071>,Crot,"""Crot""@rm-ch",46.355673,9.637582
<http://vocab.getty.edu/tgn/8700409>,Comberette,"""Comberette""@fr",46.171553,7.359213
<http://vocab.getty.edu/tgn/8700633>,La Printanière,"""La Printanière""@fr",46.17348,6.006164
<http://vocab.getty.edu/tgn/8700661>,La Chaumaz,"""La Chaumaz""@fr",46.20498,6.002327
<http://vocab.getty.edu/tgn/8700243>,Meinier,"""Meinier""@fr",46.246427,6.232737
<http://vocab.getty.edu/tgn/8700325>,Curtinatsch,"""Curtinatsch""@rm-ch",46.438033,9.991407
<http://vocab.getty.edu/tgn/8700450>,Pressy,"""Pressy""@fr",46.229645,6.205687
<http://vocab.getty.edu/tgn/8700216>,Blüomatt,"""Blüomatt""@de",46.20317,7.698151
<http://vocab.getty.edu/tgn/8700156>,Ägerte,"""Ägerte""@de",46.065356,7.781058
<http://vocab.getty.edu/tgn/8700398>,Bergji,"""Bergji""@de",46.118741,7.79666
<http://vocab.getty.edu/tgn/8700328>,Fiess,"""Fiess""@it",46.438756,9.206923
<http://vocab.getty.edu/tgn/8700677>,Bossat,"""Bossat""@fr",46.231706,6.891325
<http://vocab.getty.edu/tgn/8700599>,Chamoille,"""Chamoille""@fr",46.060654,7.154264
<http://vocab.getty.edu/tgn/8700010>,Beaupré,"""Beaupré""@fr",46.258332,6.252713
<http://vocab.getty.edu/tgn/8700014>,Drône VS,"""Drône VS""@fr",46.258591,7.364188
<http://vocab.getty.edu/tgn/8700416>,Pinchat,"""Pinchat""@fr",46.172311,6.144678
<http://vocab.getty.edu/tgn/8700145>,Chez Crettex,"""Chez Crettex""@fr",46.051785,7.143545
<http://vocab.getty.edu/tgn/8700244>,Collonge-Bellerive,Collonge-Bellerive,46.250162,6.206645
<http://vocab.getty.edu/tgn/8700534>,La Scera,"""La Scera""@it",46.363985,10.064093
<http://vocab.getty.edu/tgn/8700219>,Les Guerris,"""Les Guerris""@fr",46.227895,7.024075
<http://vocab.getty.edu/tgn/8700404>,Les Charrotons,"""Les Charrotons""@fr",46.171076,6.097704
<http://vocab.getty.edu/tgn/8700273>,Garbela,"""Garbela""@it",46.271874,10.11534
<http://vocab.getty.edu/tgn/8700616>,Brunne,"""Brunne""@de",46.131186,7.945544
<http://vocab.getty.edu/tgn/8700641>,La Petite Grave,"""La Petite Grave""@fr",46.174431,6.042075
<http://vocab.getty.edu/tgn/8700405>,Ayer,"""Ayer""@fr",46.17122,7.397628
<http://vocab.getty.edu/tgn/8700331>,Föglias,"""Föglias""@rm-ch",46.43942,9.765378
<http://vocab.getty.edu/tgn/8700222>,Miolan,"""Miolan""@fr",46.228362,6.220367
<http://vocab.getty.edu/tgn/8700048>,Bald,"""Bald""@it",46.267168,9.136255
<http://vocab.getty.edu/tgn/8700672>,Le Lignon,"""Le Lignon""@fr",46.205733,6.099391
<http://vocab.getty.edu/tgn/8700552>,Forcola,"""Forcola""@it",46.443761,9.204943
<http://vocab.getty.edu/tgn/8700580>,Alp Nova,"""Alp Nova""@rm-ch",46.452671,9.941577
<http://vocab.getty.edu/tgn/8700386>,Biele,"""Biele""@de",46.104827,7.945649
<http://vocab.getty.edu/tgn/8700423>,La Brunette,"""La Brunette""@fr",46.173031,6.045299
<http://vocab.getty.edu/tgn/8700684>,Chenarlier,"""Chenarlier""@fr",46.232137,6.929212
<http://vocab.getty.edu/tgn/8700664>,Coliore,"""Coliore""@fr",46.205136,7.385163
<http://vocab.getty.edu/tgn/8700403>,Aloué,"""Aloué""@fr",46.170786,7.258048
<http://vocab.getty.edu/tgn/8700025>,Areïne,"""Areïne""@fr",46.260006,7.294704
<http://vocab.getty.edu/tgn/8700679>,La Pelouse,"""La Pelouse""@fr",46.231959,7.009576
<http://vocab.getty.edu/tgn/8700174>,Epeisses,"""Epeisses""@fr",46.167987,5.983744
<http://vocab.getty.edu/tgn/8700395>,Chüebodmen,"""Chüebodmen""@de",46.113813,7.795543
<http://vocab.getty.edu/tgn/8700172>,Challoux,"""Challoux""@fr",46.167827,6.044292
<http://vocab.getty.edu/tgn/8700034>,Briagn,"""Briagn""@it",46.264544,9.135534
<http://vocab.getty.edu/tgn/8700264>,Dasga,"""Dasga""@it",46.269826,9.145999
<http://vocab.getty.edu/tgn/8700461>,Bätzia,"""Bätzia""@de",46.230583,7.873753
<http://vocab.getty.edu/tgn/8700001>,Creux de Nax,"""Creux de Nax""@fr",46.227189,7.409128
<http://vocab.getty.edu/tgn/8700579>,Las Plattas,"""Las Plattas""@rm-ch",46.45255,9.950483
<http://vocab.getty.edu/tgn/8700184>,Sorniot,"""Sorniot""@fr",46.169045,7.094899
<http://vocab.getty.edu/tgn/8700027>,Léoutre,"""Léoutre""@fr",46.260099,7.069352
<http://vocab.getty.edu/tgn/8700052>,Cötöngi,"""Cötöngi""@rm-ch",46.268271,10.119816
<http://vocab.getty.edu/tgn/8700231>,Les Caillettes,"""Les Caillettes""@fr",46.228905,7.00779
<http://vocab.getty.edu/tgn/8700410>,Culet,"""Culet""@fr",46.171563,6.845542
<http://vocab.getty.edu/tgn/8700691>,Les Jones,"""Les Jones""@fr",46.232474,6.216562
<http://vocab.getty.edu/tgn/8700011>,Bürchneralp,"""Bürchneralp""@de",46.258487,7.828313
<http://vocab.getty.edu/tgn/8700435>,Crételannaz,"""Crételannaz""@fr",46.203887,7.377989
<http://vocab.getty.edu/tgn/8700241>,Puplinge,"""Puplinge""@fr",46.21021,6.232478
<http://vocab.getty.edu/tgn/8700285>,Botegh,"""Botegh""@it",46.274961,9.110425
<http://vocab.getty.edu/tgn/8700181>,Avully,"""Avully""@fr",46.168488,6.002797
<http://vocab.getty.edu/tgn/8700452>,Les Mévaux,"""Les Mévaux""@fr",46.229809,6.26676
<http://vocab.getty.edu/tgn/8700046>,Frendül,"""Frendül""@rm-ch",46.266895,10.137865
<http://vocab.getty.edu/tgn/8700399>,Breitmatten,"""Breitmatten""@de",46.123565,7.788898
<http://vocab.getty.edu/tgn/8700690>,Bonvard,"""Bonvard""@fr",46.232439,6.211556
<http://vocab.getty.edu/tgn/8700651>,Le Verney,"""Le Verney""@fr",46.175606,6.036
<http://vocab.getty.edu/tgn/8700377>,Champsec,"""Champsec""@fr",46.05712,7.24354
<http://vocab.getty.edu/tgn/8700245>,Chêne-Bougeries,Chêne-Bougeries,46.197545,6.162082
<http://vocab.getty.edu/tgn/8700233>,Lullier,"""Lullier""@fr",46.228965,6.257424
<http://vocab.getty.edu/tgn/8700694>,Bois,"""Bois""@fr",46.232511,6.902141
<http://vocab.getty.edu/tgn/8700236>,Moulin Fabry,"""Moulin Fabry""@fr",46.229138,6.014288
<http://vocab.getty.edu/tgn/8700698>,Les Pauses Basses,"""Les Pauses Basses""@fr",46.232791,6.263138
<http://vocab.getty.edu/tgn/8701030>,Alpina,"""Alpina""@rm-ch",46.491033,9.82738
<http://vocab.getty.edu/tgn/8700788>,Fornas,"""Fornas""@it",46.451085,9.200926
<http://vocab.getty.edu/tgn/8701492>,Grip da l'Aivla,"""Grip da l'Aivla""@rm-ch",46.444881,9.810993
<http://vocab.getty.edu/tgn/8700858>,Alte Stafel,"""Alte Stafel""@de",46.158356,8.058707
<http://vocab.getty.edu/tgn/8701001>,Alp de Pian Doss,"""Alp de Pian Doss""@it",46.453948,9.208101
<http://vocab.getty.edu/tgn/8701093>,Beuson,"""Beuson""@fr",46.179856,7.324823
<http://vocab.getty.edu/tgn/8701024>,Alp Languard,"""Alp Languard""@rm-ch",46.487166,9.918196
<http://vocab.getty.edu/tgn/8701280>,Anme,"""Anme""@fr",46.074029,7.247052
<http://vocab.getty.edu/tgn/8701224>,Doira,"""Doira""@it",46.38245,9.238599
<http://vocab.getty.edu/tgn/8701183>,Canton,"""Canton""@it",46.296915,10.084809
<http://vocab.getty.edu/tgn/8700750>,Cavaglia,"""Cavaglia""@it",46.366335,10.042232
<http://vocab.getty.edu/tgn/8701355>,Cara,"""Cara""@fr",46.210547,6.252606
<http://vocab.getty.edu/tgn/8701503>,Alp Curtegns,"""Alp Curtegns""@rm-ch",46.550617,9.552148
<http://vocab.getty.edu/tgn/8701036>,Acla Dimlej,"""Acla Dimlej""@rm-ch",46.494952,9.860831
<http://vocab.getty.edu/tgn/8700971>,Barghi,"""Barghi""@it",46.296288,10.096038
<http://vocab.getty.edu/tgn/8701131>,Bode,"""Bode""@de",46.209046,7.842578
<http://vocab.getty.edu/tgn/8701139>,Sionnet,"""Sionnet""@fr",46.234829,6.247015
<http://vocab.getty.edu/tgn/8701184>,Caneu,"""Caneu""@rm-ch",46.297126,10.058624
<http://vocab.getty.edu/tgn/8701382>,Champeronne,"""Champeronne""@fr",46.238945,6.907562
<http://vocab.getty.edu/tgn/8701435>,Dosseda,"""Dosseda""@rm-ch",46.303514,9.184779
<http://vocab.getty.edu/tgn/8700887>,Biffig,"""Biffig""@de",46.206402,7.896032
<http://vocab.getty.edu/tgn/8701273>,Cuorts,"""Cuorts""@rm-ch",46.532041,9.647594
<http://vocab.getty.edu/tgn/8701034>,Alp Natons,"""Alp Natons""@rm-ch",46.492928,9.652214
<http://vocab.getty.edu/tgn/8701032>,Acla Laret,"""Acla Laret""@rm-ch",46.492477,9.826709
<http://vocab.getty.edu/tgn/8701378>,Diolly,"""Diolly""@fr",46.238562,7.344249
<http://vocab.getty.edu/tgn/8701119>,Champoussin,"""Champoussin""@fr",46.208071,6.863094
<http://vocab.getty.edu/tgn/8701308>,Bodenbrücke,"""Bodenbrücke""@de",46.179682,7.90658
<http://vocab.getty.edu/tgn/8701237>,Acubona,"""Acubona""@it",46.462337,9.195779
<http://vocab.getty.edu/tgn/8700844>,Bideralp,"""Bideralp""@de",46.139293,7.922336
<http://vocab.getty.edu/tgn/8701003>,A la Cava di Sass,"""A la Cava di Sass""@it",46.454211,9.198974
